2022,2021,Company,Ownership,Industry,Total_income,Net_income,Profit,Profirt_rank,% of total income,Interest_cost,interest_cost (% of Ebitda),Cash and Bank Balance,Total_debt,Debt-Equity_ratio,Total_Assets,Total_Assets_Rank,Networth,Networth_Rank,RONW(%),ROCE(%),Employees(in nos),"T12M AVG
M-Cap",TSR(%)
359,332,Motilal Oswal Financial Services,Motilal Oswal%comma% Raamdeo Agrawal,Securities Trading,4320,4298,1310,126,30.32,478,0,5315,6152,1.08,11853,187,5674,204,25.86,19.05,6951,12437,-24.38
360,470,Indo Rama Synthetics (India),O.P. Lohia,Textiles & Garments,4257,4204,269,351,6.32,62,20.36,12,354,0.59,991,490,600,462,34.33,23.6,1462,1686,20.25
361,377,"Castrol India
                                                      ^^",MNC,"Lube Oils, Lubricants",4253,4192,758,206,17.83,2,0.23,1300,0,0,1670,459,1646,396,49.55,66.21,631,11379,-6.45
362,414,Century Textiles & Industries,B.K. Birla Group,Diversified,4240,4131,167,399,3.93,52,11.74,114,1336,0.36,5833,274,3719,266,4.48,4.83,4370,9312,4.67
363,378,Amber Enterprises India,Jasbir Singh,Consumer Durables,4235,4206,109,415,2.58,48,17.28,563,1069,0.62,2892,386,1734,389,6.67,8.3,1363,9858,-34.19
364,365,"Tamil Nadu Newsprint & Papers
                                                      ^^",Govt of Tamil Nadu,Paper,4205,4357,14,448,0.34,156,43.65,14,2239,1.41,3990,336,1589,398,0.9,4.22,2371,1245,104.56
365,481,Kirloskar Industries,Kirloskar Group,NBFC,4203,3810,194,387,4.61,31,0,344,1157,0.5,5222,293,2329,337,15.52,21.65,0,1475,11.49
366,338,Birlasoft,C.K. Birla Group,Infotech,4197,4130,464,275,11.05,13,2.03,383,123,0.05,2755,390,2583,318,19.47,24.48,10122,11146,-33.44
367,334,BEML,GoI,Capital Goods,4192,4337,129,410,3.07,65,19.91,34,832,0.35,4505,315,2357,334,5.63,6.02,5573,6630,23.01
368,0,FSN E-Commerce Ventures,Nayar family,New Age Tech,4163,3774,41,438,0.99,47,28.83,267,593,0.44,2068,433,1340,417,4.16,6.2,2764,75981,-47.54
369,294,KRBL,Anil Mittal,FMCG,4154,4211,459,278,11.06,13,2.02,391,145,0.04,4226,325,4070,247,11.84,15.2,2321,6077,42.15
370,277,"Gujarat Ambuja Exports
                                                      (**)",Manish Kumar Gupta,"Food, Agri Products",4129,4163,475,273,11.51,6,0.83,18,281,0.13,2418,409,2118,352,25.19,30.28,2621,5705,47.93
371,445,Wheels India,TVS-S. Viji,Auto Ancillaries,4125,3966,76,427,1.85,71,28.08,4,876,1.19,1634,460,734,457,10.64,11.35,2221,1548,-11.13
372,391,Gujarat Fluorochemicals,Vivek Jain,Basic Materials,4123,3954,787,199,19.09,78,6.71,153,1556,0.37,5831,275,4255,242,20.03,20.46,2830,31848,99.66
373,381,AIA Engineering,Bhadresh Shah,Iron & Steel,4094,3567,620,231,15.14,9,1.17,506,10,0,4788,305,4755,230,13.77,17.11,4105,19571,39.49
374,410,"Page Industries
                                                      ^^",Sunder Genomal,Textiles & Garments,4090,3886,537,254,13.12,34,4.27,283,110,0.1,1206,485,1089,435,54.37,66.7,27730,49037,29.94
375,364,Finolex Cables,Chhabria family,Consumer Durables,4088,3768,599,236,14.66,2,0.35,38,9,0,3941,340,3922,256,16.33,21.38,1589,6896,12.05
376,355,"Prakash Industries
                                                      ^^",V.P. Agarwal,Iron & Steel,4078,3929,169,397,4.14,73,32.9,211,548,0.19,3401,367,2812,305,5.91,7,2404,1073,-21.55
377,326,"USV
                                                      ^",Leena Gandhi Tewari,Pharma,4067,3893,1076,152,26.45,2,0.1,221,0,0,4164,328,4041,249,27.93,36.64,0,0,0
378,369,"Tata Hitachi Construction Machinery Company
                                                      ^^ ^",Tata Group,Engineering,4062,3943,6,449,0.15,19,17.53,101,514,0.58,1531,468,891,448,0.69,2.53,0,0,0
379,417,Max Healthcare Institute,Abhay Soi%comma% KKR,Healthcare,4059,3931,605,233,14.91,101,10.81,499,913,0.15,7864,232,6282,190,10.15,11.09,4436,36702,33.01
380,323,Equitas Holdings,"Diversified
                                              *",Micro Finance,4045,3978,153,402,3.79,1481,0,2130,22242,6.53,26701,129,3407,278,7.11,7.34,17687,3633,-20.79
381,358,Kirloskar Oil Engines,Kirloskar Group,Capital Goods,4041,4022,175,395,4.32,106,25.73,174,1965,0.94,4125,331,2082,356,8.54,9.55,2184,2549,33.33
382,453,Sarda Energy & Minerals,K.K. Sarda,Iron & Steel,4030,3914,804,196,19.95,147,10.91,282,1581,0.53,4732,308,3004,297,30.96,29.27,1369,3228,-5.74
383,426,Solar Industries India,Satyanarayan Nuwal,Basic Materials,4007,3948,441,282,11.01,50,6.72,99,888,0.46,2904,385,1914,372,26.07,25.33,1272,25774,62.05
384,335,"Equitas Small Finance Bank
                                                      ^^","Diversified
                                              *",Banks,3997,3460,281,348,7.02,1421,0,2133,21567,0,26959,127,4246,243,7.35,1.09,17607,6250,-19.19
385,367,Medplus Health Services,Madhukar Gangadi & Others,Healthcare,3970,3779,96,420,2.41,66,24.39,34,815,0.57,2253,421,1418,410,8.82,10.26,439,10355,-47.15
386,433,Zuari Agro Chemicals,K.K. Birla Group,"Fert, Agrochem",3965,3590,130,409,3.29,173,74.04,705,2643,7.2,3505,361,367,471,22.1,12.86,624,624,61.14
387,314,"DCB Bank
                                                      ^^","Diversified
                                              *",Banking,3965,3513,288,347,7.25,2155,0,4091,38774,0,44892,98,3823,264,7.82,0.68,8077,2682,13.65
388,348,Granules India,K.P. Chigurupati,Drugs & Pharmaceuticals,3935,3765,413,294,10.49,23,3.21,409,1106,0.43,3722,353,2587,317,17.34,17.17,3686,7554,18.15
389,333,"P&G Hygiene and Health Care
                                                      ^^",MNC,FMCG,3932,3901,576,244,14.64,11,1.35,639,5,0.01,827,493,738,456,79.31,98.5,0,47042,-1.44
390,457,RSWM,L.N. Jhunjhunwala family,Textiles & Garments,3917,3817,246,363,6.29,68,15.65,9,1103,1.07,2145,430,1035,440,26.95,18.47,16615,993,-24.79
391,459,"Filatex India
                                                      ^^",M.S. Bhageria,Textile & Garments,3892,3828,303,341,7.78,36,6.78,29,358,0.33,1479,472,1085,436,32.76,34.51,2383,2444,-0.69
392,390,GHCL,Sanjay Dalmia,Basic Materials,3877,3778,647,225,16.68,64,6.49,255,788,0.26,3881,346,3086,293,23.22,25.81,3655,5177,55.41
393,361,"Redington
                                                      (**)","Diversified
                                              *",Trading,3877,2492,1280,128,33.02,163,8.85,3659,831,0.14,7108,253,5785,203,24.52,28.61,1663,11327,0.69
394,406,SKF India,MNC,Auto Ancillaries,3874,3666,395,302,10.2,2,0.37,402,16,0.01,1939,445,1886,377,22.9,29.97,1681,18986,33.13
395,483,"Birla Carbon India
                                                      ^^ ^",Aditya Birla Group,Auto ancillaries,3858,3624,432,287,11.2,21,4.02,1,407,0.15,3104,374,2668,311,17.36,19.95,0,0,0
396,400,ITD Cementation India,MNC,"Engg, Construction",3854,3809,69,431,1.79,142,48.32,491,560,0.5,1732,455,1131,430,6.31,14.3,2071,1377,51.29
397,392,Galaxy Surfactants,"Diversified
                                              *",FMCG,3844,3686,263,355,6.84,13,3.21,71,421,0.27,2003,437,1574,400,18.28,18.99,1546,10586,-5.44
398,0,"Go Digit General Insurance
                                                      ^^ ^",Fairfax%comma% Kamesh Goyal,Financial Services,3841,3841,-296,470,0,0,0,147,0,0,1978,439,1978,367,0,0,0,0,0
399,346,Sun TV Network,Kalanithi Maran,Media,3841,3585,1642,109,42.75,33,1.46,1138,95,0.01,8264,229,8155,155,21.59,28.94,1106,19180,-8.54
400,0,GVK Power & Infrastructure,G.V.K. Reddy family,Infra Development,3832,858,2645,77,69.03,421,144.13,557,10523,0,7478,242,-3840,494,0,35.8,2065,585,-48.66
401,477,"Nahar Spinning Mills
                                                      ^^",J.L. Oswal,Textiles & Garments,3818,3594,502,266,13.15,75,9.21,4,1013,0.63,2617,400,1601,397,40.2,32.67,10133,1599,-46.05
402,388,"Mando Automotive India
                                                      ^^ ^",Anand group%comma% Mando Corp,Auto ancillaries,3815,3773,217,376,5.7,17,3.75,279,321,0.33,1298,482,970,443,24.85,27.43,0,0,0
403,435,Gujarat Alkalies & Chemicals,Govt of Gujarat,Basic Materials,3808,3759,560,248,14.7,6,0.63,300,594,0.1,6642,262,5899,200,9.93,13.19,1538,5685,20.33
404,409,Kajaria Ceramics,A.K. Kajaria,Consumer Durables,3807,3705,377,309,9.9,13,2.08,424,165,0.08,2371,415,2122,350,19.18,24.21,2599,17790,-10.92
405,437,Sharda Cropchem,R.V. Bubna,Basic Materials,3787,3580,349,321,9.22,15,2.16,166,47,0.02,1966,440,1912,375,19.81,26.12,175,4692,20.62
406,362,JM Financial,Nimesh Kampani,Non-banking Financial Services,3763,3724,773,203,20.54,1082,0,2560,13498,1.76,24124,132,7686,162,13.51,11.97,2405,6539,-18.25
407,418,H.G. Infra Engineering,Harendra Singh%comma% Vijendra Singh%comma% Girishpal Singh trusts,"Engg, construction",3759,3751,380,308,10.11,118,16.57,165,1184,0.82,2630,399,1436,408,30.42,27.82,1866,3850,-24.56
408,422,Narayana Hrudayalaya,Devi Shetty,Healthcare,3747,3701,342,324,9.12,76,11.62,172,723,0.49,2456,408,1489,406,26.23,21.71,11465,13474,54.12
409,380,KNR Constructions,Narasimha Reddy,Engineering & Construction,3684,3606,382,306,10.37,151,18.85,259,1464,0.63,4099,332,2328,338,17.06,21.52,2173,7526,-22.07
410,385,Time Technoplast,Vageria%comma% Jain families,Plastic Products,3670,3650,188,391,5.12,92,18.19,94,906,0.44,3032,379,2069,360,9.69,12.25,2521,2067,49.82
411,412,Rattanindia Power,Rajiv Rattan,Power,3669,3260,-1981,493,0,2342,641.25,270,10967,0,9877,211,-2662,492,0,0,524,2649,4.76
412,340,Great Eastern Shipping Company,K.M. Sheth,Shipping,3669,3509,630,228,17.16,370,24.23,2837,4655,0.58,13022,177,8051,157,7.99,7.54,1812,5698,74.96
413,448,India Glycols,U.S. Bhartia,Basic Materials,3667,2868,340,325,9.27,70,0,102,1042,0.58,3050,378,1792,381,11.1,8.43,1151,2708,-12.02
414,387,Kesoram Industries,B.K. Birla Group,Diversified,3657,3606,-77,456,0,502,102.46,179,1811,3.01,2528,402,511,465,0,0,1856,1332,-11.51
415,397,V-Guard Industries,K. Chittilappilly,Consumer Durables,3652,3498,228,369,6.23,8,2.33,61,68,0.05,1500,471,1407,412,17.45,21.63,2477,9821,-0.64
416,462,"Mahanagar Gas
                                                      ^^",GoI,Oil & Gas,3646,3560,597,237,16.37,8,0.81,465,103,0.03,3727,351,3597,273,17.48,23.06,491,8134,-12.61
417,396,Nava,"Diversified
                                              *",Metals,3639,3348,518,260,14.23,338,27.61,342,3587,0.72,9784,215,4953,224,13.48,15.46,611,2308,71.97
418,376,HIL,C.K. Birla Group,Cement,3630,3520,210,380,5.8,13,3.22,73,313,0.27,1518,469,1166,428,19.47,20.61,1610,2852,-36.79
419,0,Graphite India,K.K. Bangur,Basic Materials,3588,3027,505,264,14.06,5,1,144,436,0.09,5386,288,4947,225,10.63,13.73,1719,8784,-31.51
420,439,"Tetra-Pak India
                                                      ^^ ^",MNC,Packaging,3564,3337,212,379,5.95,41,10.9,14,486,1,997,488,485,466,48.35,34.22,0,0,0
421,327,"Saraswat Co-operative Bank
                                                      ^^ ^","Diversified
                                              *",Banking,3556,3029,275,349,7.73,1997,0,5093,45030,0,58468,86,4435,235,6.15,0.49,0,0,0
422,423,"J Kumar Infraprojects
                                                      ^^",Jagadishkumar Gupta,Real Estate,3552,3527,206,383,5.8,100,19.82,374,472,0.23,2560,401,2087,353,10.36,15.26,7021,1719,65.72
423,379,Ajanta Pharma,Rajesh Agrawal,"Drugs, Pharma",3540,3341,713,212,20.13,10,1.1,212,25,0.01,3313,368,3264,287,22.77,28.91,7234,16652,-11.26
424,497,Himatsingka Seide,D.K. Himatsingka,Textiles & Garments,3506,3198,141,404,4.02,181,33.3,167,2922,1.99,4677,310,1470,407,10.11,8.8,8687,1535,-63.47
425,375,EPL,MNC,Packaging,3502,3433,214,378,6.12,40,7.09,193,767,0.42,2660,398,1825,380,12.56,13.16,1114,5565,-26.81
426,472,Patel Engineering,Rupen Patel,"Engg, Construction",3497,3380,72,429,2.05,420,84.37,261,2292,0.96,6219,270,2384,328,3.77,9.26,4273,1233,-13.21
427,404,Brigade Enterprises,M.R. Jaishankar,Real Estate,3494,2999,83,424,2.37,444,62.51,945,4906,1.69,7967,231,2902,301,-3.51,6.29,625,11174,4.71
428,415,Carborundum Universal,Murugappa Group,"Fert, Agrochem",3478,3325,333,327,9.58,6,1.05,352,232,0.1,2718,393,2364,330,15.57,19.93,2121,15681,2.48
429,419,Prime Focus,Naresh Malhotra,Media & Entertainment,3478,3386,-172,462,0,373,60.6,239,4102,35.89,4521,314,114,476,0,0,249,2242,-5.05
430,389,"Sanofi India
                                                      ^^",MNC,"Drugs, Pharma",3477,2957,944,168,27.16,2,0.24,1550,25,0.01,2312,418,2226,344,26.75,33.8,2505,15981,-25.48
431,319,Godrej Properties,Godrej Group,Real Estate,3474,1825,352,320,10.14,167,0,1339,5196,0.6,13966,167,8675,150,4.09,5.03,1998,43283,-46.15
432,383,Cochin Shipyard,GoI,Ship Building,3459,3191,564,247,16.3,53,8.46,3213,551,0.13,4983,300,4393,239,13.39,17.08,1756,4619,61.55
433,463,Ratnamani Metals & Tubes,Prakash Sanghvi,Iron & Steel,3397,3139,323,333,9.5,21,4.32,44,157,0.07,2408,411,2248,343,15.23,19.62,2372,11241,46.51
434,420,3M India,MNC,Consumer Durables,3390,3336,272,350,8.02,4,0.96,1328,25,0.01,2263,420,2184,346,13.29,17.52,1132,25495,-8.93
435,466,West Coast Paper Mills,S.K. Bangur,Paper,3389,3378,307,339,9.06,59,9.27,60,478,0.28,2660,397,1686,395,22.5,21.21,2386,2366,146.37
436,431,Religare Enterprises,"Diversified
                                              *",NBFC,3372,3227,-1544,491,0,750,0,2403,4878,0,4346,322,-982,487,0,0,0,4392,5
437,0,Oberoi Realty,Vikas Oberoi,Real Estate,3365,2694,1047,160,31.11,86,7.28,293,2855,0.27,13512,169,10416,136,10.58,11.69,662,32643,-3.8
438,386,Emami,RS Agarwal & RS Goenka,FMCG,3333,3192,839,185,25.17,5,0.54,116,282,0.14,2406,412,2077,357,43.59,32.08,3205,21275,-11.98
439,394,Transport Corporation of India,D.P. Agarwal,Transport Logistics,3304,3257,290,346,8.76,13,3.14,74,96,0.07,1560,466,1430,409,22.52,22.84,3691,5459,4.51
440,0,Lakshmi Machine Works,Jayavarthanavelu family,Textiles & Garments,3290,3171,181,392,5.5,0,0.04,495,0,0,2417,410,1990,364,9.6,11.01,3143,10864,48.06
441,349,"GE T&D India
                                                      ^^",MNC,Capital Goods,3283,3066,-50,455,0,59,0,82,226,0.21,1409,478,1080,437,0,-8.09,2332,2952,-1.08
442,443,Akzo Nobel India,MNC,FMCG,3264,3149,290,345,8.89,15,3.35,459,71,0.06,1423,476,1258,421,22.79,26.67,1467,8923,6.75
443,399,Sumitomo Chemical India,MNC,Basic materials,3262,3065,424,290,12.98,8,1.33,79,38,0.02,1987,438,1927,370,24.42,32.52,1696,21508,33.37
444,493,Force Motors,Abhaykumar Firodia family,Auto,3255,3240,-91,457,0,41,81.33,74,1069,0.61,2847,388,1748,387,0,-3.31,3928,1556,-3.83
445,450,Asahi India Glass,MNC,Auto Ancillaries,3238,3170,345,323,10.65,121,15.9,88,1238,0.7,3011,380,1762,385,21.41,20.84,6589,12573,45.7
446,485,"KRIBHCO Fertilisers
                                                      ^^ ^",GoI,Fertilisers & Agrochem,3237,3199,80,425,2.48,59,27.87,145,1360,2.55,1950,443,532,464,15.84,8.06,0,0,0
447,0,Indian Hotels Co,Tata Group,Hospitality,3227,3056,-248,467,0,428,105.66,1188,3888,0.55,11678,190,7062,175,0,0,4980,33136,67.06
448,460,"JBF Industries
                                                      ^^",Bhagirath Arya,Textiles & Garments,3223,3272,-1170,486,0,250,0,140,2583,0,1618,462,-978,486,0,0,2428,125,-49.59
449,449,Tanla Platforms,U.K. Reddy,Infotech,3222,3206,539,253,16.74,3,0.44,862,54,0.04,1416,477,1354,416,48,58.39,680,17204,-36.84
450,451,Cosmo First,Ashok Jaipuria,Packaging,3209,3038,397,301,12.36,40,6.97,61,818,0.69,2090,431,1191,425,38.8,29.5,1039,2790,-30.02
451,0,JBM Auto,S.K. Arya,Auto Ancillaries,3206,3193,156,401,4.87,76,22.72,35,1388,1.55,2305,419,896,447,19.05,13.43,2063,5309,67.04
452,424,Embassy Office Parks REIT,MNC,Real estate,3186,3053,888,178,27.89,829,34.69,612,12136,0.47,38429,110,25887,64,3.08,4.24,0,34763,5.23
453,0,Arvind Fashions,Sanjay Lalbhai,Textiles,3177,3056,-267,468,0,130,243.14,105,958,1.28,2061,434,750,455,0,0,236,3808,18.65
454,0,Sutlej Textiles and Industries,C.S. Nopany,Textiles & Garments,3175,3076,150,403,4.73,50,13.42,14,943,0.86,2069,432,1100,433,14.62,14.42,16835,1208,-2.77
455,0,Laxmi Organic Industries,Ravi Goenka,Basic Materials,3174,3084,256,360,8.08,19,5.09,182,139,0.11,1444,474,1301,420,21.96,25.6,679,10019,-30.24
456,313,Wockhardt,Habil Khorakiwala,"Drugs, Pharma",3163,3230,-244,466,0,299,260,406,2198,0.57,6584,263,3849,260,0,1.15,2962,3966,-40.67
457,320,Strides Pharma Science,Arun Kumar,"Drugs, pharma",3163,3070,-460,473,0,177,0,187,3025,1.28,5531,284,2359,331,0,-4.44,2647,3297,-42.89
458,0,"National Engineering Industries
                                                      ^",C.K. Birla Group,Auto Ancillary,3163,2819,219,373,6.92,76,28.33,171,1504,0.46,4778,306,3239,288,2.52,3.43,0,0,0
459,484,Century Plyboards (India),Bhajanka%comma% Agarwal familes,Basic Materials,3154,3027,313,337,9.92,11,2.15,261,236,0.15,1804,452,1557,401,22.18,29.52,6339,13605,4.34
460,421,Sobha,P.N.C. Menon family,Real Estate,3137,2731,117,414,3.73,750,84.3,178,2514,1,5042,296,2511,322,3.85,16.56,3007,6801,-24.03
461,374,"Ujjivan Small Finance Bank
                                                      ^^","Diversified
                                              *",Banks,3126,2813,-415,472,0,1039,0,2168,20056,0,23611,136,2603,316,0,-1.88,16895,3353,16.2
462,345,SREI Infrastructure Finance,"Diversified
                                              *",NBFC,3122,3099,-2545,495,0,2169,0,1478,32318,0,26568,130,-5901,495,0,0,0,254,-10.27
463,0,"Gallantt Ispat
                                                      ^^",C.P. Agarwal,Iron & Steel,3122,3017,176,394,5.63,20,6.91,13,387,0.19,2485,405,2083,355,8.82,10.75,0,966,-15.31
464,310,Gayatri Projects,S.K. Reddy,"Engg, Construction",3100,3102,-958,481,0,338,0,33,2748,0,3427,365,-5,482,0,0,0,400,-70.32
465,427,"Orient Cement
                                                      ^^",C.K. Birla Group,Cement,3095,3073,263,353,8.51,51,8.7,44,316,0.21,1889,446,1525,404,18.6,22.49,858,2856,-19.15
466,368,Ujjivan Financial Services,"Diversified
                                              *",Micro Finance,3092,2995,-192,463,0,1071,0,2188,21073,9.07,23795,134,2323,340,0,3.59,0,1891,36.38
467,401,Kirloskar Brothers,Kirloskar Group,Capital Goods,3091,3058,94,421,3.05,33,16.25,259,396,0.34,1689,458,1177,427,7.15,10.63,4687,2612,-4.35
468,0,Adani Total Gas,Adani Group,Oil & Gas,3088,3038,509,262,16.5,53,6.82,34,1035,0.43,3461,363,2416,327,23.2,24.68,466,263880,153.35
469,0,Maithan Alloys,Subhas Chandra Agarwalla,Metals & Mining,3085,2992,818,194,26.52,3,0.32,102,5,0,2332,417,2323,339,42.55,55.6,584,3055,-8.53
470,447,"Gokul Refoils and Solvent
                                                      (**)",B.C. Rajput,"Food, Agri Products",3080,2997,27,445,0.86,18,45.53,59,368,1.21,673,496,304,473,9.12,8.85,0,348,16.45
471,436,Sheela Foam,Rahul Gautam,Textiles & garments,3071,2982,217,375,7.08,17,5.39,41,466,0.33,1945,444,1393,413,16.98,17.84,2779,15178,11.75
472,408,Indo Count Industries,A.K. Jain family,Textiles & Garments,3068,2842,358,316,11.68,47,10.91,394,1319,0.83,2923,382,1587,399,24.98,22.27,2215,3529,-40.51
473,403,"Jana Small Finance Bank
                                                      ^^ ^","Diversified
                                              *",Banking,3050,2727,5,450,0.18,1337,0,1537,18050,0,20189,142,1051,439,0.11,0.03,0,0,0
474,444,"KIOCL
                                                      ^^",GoI,Metals & Mining,3047,3006,313,335,10.29,12,3.26,1108,126,0.06,2365,416,2144,347,15.18,18.55,699,13277,-33.2
475,356,Engineers India,GoI,"Engg, Construction",3043,2913,140,405,4.59,3,0.8,1383,4,0,1786,453,1770,382,19.48,25.45,2756,3707,1.49
476,372,"Honeywell Automation India
                                                      ^^",MNC,Consumer Durables,3030,2948,339,326,11.19,9,2,2006,56,0.02,2920,383,2837,303,12.52,16.6,0,34821,-7.25
477,446,Minda Corporation,Ashok Minda,Auto Ancillaries,3019,2976,192,388,6.36,32,10.83,333,506,0.38,1872,448,1325,418,12.97,11.6,2755,4840,16.66
478,393,Va Tech Wabag,Rajiv Mittal,Capital Goods,3014,2979,132,407,4.38,88,37.51,429,436,0.28,2167,428,1539,403,8.96,12.18,968,1763,-20.56
479,478,"Bharat Dynamics
                                                      ^^",GoI,3013,40.97,47.22,267,93.94,5,0.68,1900,10,0,3988,337,15.74,295,17.49,19.23,2674,255,134.72,
480,311,"Bank of America
                                                      ^^ ^",MNC,Banking,3003,2326,830,190,27.62,513,0,14453,39199,0,62333,83,14291,105,5.98,1.36,0,0,0
481,0,Sunflag Iron & Steel Company,Satyadev Bhardwaj,Iron & Steel,2995,2718,217,377,7.24,42,10.61,68,587,0.34,2380,414,1412,411,16.73,18.45,1206,1486,3.09
482,0,Savita Oil Technologies,G.N. Mehra,"Lube Oils, Lubricants",2975,2938,260,356,8.76,19,5.39,68,0,0,1265,484,1258,422,22.45,31.5,463,1696,8.7
483,0,Himadri Speciality Chemical,Sadashiv K Shetty,Basic materials,2938,2791,39,440,1.33,36,27.11,265,587,0.31,2456,407,1868,378,3.12,4.56,0,2963,98.55
484,498,"Tata Teleservices
                                                      ^",Tata Group,Telecom (Ancillaries),2898,2734,-1304,488,0,2375,285.98,52,28114,0,3214,371,-29149,499,0,0,0,0,0
485,398,Dalmia Bharat Sugar & Industries,Dalmia Bharat Group,Cement,2894,3018,296,342,10.22,35,7.81,104,819,0.35,3224,370,2359,333,13.14,13.04,2648,3180,-18.19
486,0,GMDC,Govt of Gujarat,Metals & Mining,2889,2737,405,297,14.02,2,0.31,90,1,0,5413,287,4767,229,9.17,14.73,1085,4387,96.41
487,0,Electrotherm (India),Mukesh Bhandari,Capital Goods,2883,2831,-40,452,0,45,52.58,72,2087,0,1024,487,-1082,488,0,0,2094,136,-38.32
488,440,Radico Khaitan,L.K. Khaitan,Beer & Alcohol,2879,2868,263,354,9.14,13,3.32,110,202,0.1,2240,422,2027,361,13.01,15.93,1196,13096,-4.26
489,0,Shoppers Stop,K Raheja,Retail Trade,2871,2519,-47,453,0,207,76.73,33,2115,27.86,2191,427,76,481,0,0,5403,5281,111.55
490,469,TTK Prestige,T.T. Jagannathan family,Consumer Durables,2854,2722,305,340,10.68,7,1.6,405,92,0.05,1823,451,1727,391,18.91,24.5,1418,12647,-15.26
491,454,"Relaxo Footwears
                                                      ^^",M.L. Dua & R.K. Dua,Leather,2849,2653,233,366,8.17,17,4.12,13,174,0.1,1953,442,1760,386,13.96,17.79,8026,27866,-27.61
492,479,Nilkamal,V. Parekh & S. Parekh,Consumer Durables,2838,2730,83,423,2.94,31,13.79,68,354,0.29,1630,461,1202,424,7.13,9.15,3225,3204,-12.04
493,416,Sadbhav Engineering,Vishnubhai Patel,"Engg, Construction",2828,1908,-724,478,0,975,0,212,6159,7.68,7257,246,802,453,0,0,1238,468,-74.09
494,491,Rane Holdings,L. Ganesh family,Auto Ancillaries,2825,2695,24,446,0.85,34,0,28,788,1.02,1849,449,776,454,1.93,4.28,0,949,51.62
495,360,Dish TV India,"Diversified
                                              *",Media,2815,2802,-1831,492,0,325,0,182,378,0.4,1282,483,936,444,0,0,0,2836,-6.99
496,482,Usha Martin,Brij Kishore Jhawar,Iron & Steel,2812,2688,291,344,10.36,42,11.07,165,411,0.24,2196,425,1694,393,16.84,16.99,2180,3522,58.29
497,402,Godfrey Phillips India,K.K. Modi Group,FMCG,2812,2706,438,286,15.58,34,5.36,50,336,0.11,3299,369,2928,300,13.61,16.51,962,6003,19.19
498,0,"Schwing Stetter India
                                                      ^^ ^",MNC,Capital goods,2801,2539,53,434,1.91,37,32.62,20,320,0.73,795,494,438,470,11.45,13.86,0,0,0
499,490,"Hubergroup India
                                                      ^^ ^",MNC,Basic Materials,2797,2695,171,396,6.12,15,6.15,11,260,0.15,2036,436,1764,384,9.92,13.12,0,0,0
500,0,"Nitin Spinners
                                                      ^^",Ratan Lal Nolkha,Textiles & Garments,2788,2692,326,330,11.7,55,8.55,1,689,0.79,1569,464,876,449,45.32,36.06,5205,1350,-15
