2022,2021,Company,Ownership,Industry,Total_income,Net_income,Profit,Profirt_rank,% of total income,Interest_cost,interest_cost (% of Ebitda),Cash and Bank Balance,Total_debt,Debt-Equity_ratio,Total_Assets,Total_Assets_Rank,Networth,Networth_Rank,RONW(%),ROCE(%),Employees(in nos),"T12M AVG
M-Cap",TSR(%)
152,126,Tata Consumer Products,Tata Group,FMCG,12605,12425,936,171,7.42,73,4.37,2600,1412,0.09,17988,150,15120,101,7.28,9.2,2932,70457,-5.91
153,136,Adani Transmission,Adani Group,Power,12544,11258,1205,134,9.6,2365,56.23,1493,29902,3.02,42455,103,9913,141,13.12,10.28,5105,281121,89.77
154,131,Godrej Consumer Products,Godrej Group,FMCG,12483,12277,1783,96,14.29,122,5.22,1108,1704,0.15,13370,171,11556,129,16.99,18.37,2601,86577,-14.95
155,130,Glenmark Pharmaceuticals,Saldanha family,"Drugs, Pharma",12483,12305,942,169,7.54,298,14.48,1412,3962,0.44,13553,168,9087,147,14.36,15.77,11550,12299,-20.83
156,147,Bosch,MNC,Auto Ancillaries,12453,11782,1218,131,9.78,29,1.98,1706,73,0.01,11116,197,10680,134,11.88,14.28,6041,46840,-4.87
157,162,JK Tyre & Industries,JK Organisation,Tyres & Tubes,12374,11983,210,381,1.7,419,39.05,176,5220,1.83,8924,223,2848,302,7.26,8.56,2161,3232,21.1
158,128,Muthoot Finance,Muthoot family,NBFC,12237,12185,4017,59,32.82,4268,0,10315,54569,2.9,73707,75,18786,86,23.46,13.89,26716,50095,-29.01
159,154,Mphasis,MNC,Infotech,12122,11961,1431,123,11.8,74,3.51,949,527,0.08,8302,228,6943,176,21.25,24.79,14098,50893,-39.14
160,144,Dalmia Bharat,Dalmia Bharat Group,Diversified,11542,11286,1144,145,9.91,202,8.41,160,3176,0.2,19275,146,15687,98,8.2,7.49,5652,30432,-20.08
161,164,Kalyan Jewellers India,T.S. Kalyanaraman,Gems & jewellery,11439,10818,224,371,1.96,360,42.27,777,4029,1.28,7202,248,3137,291,7.51,9.32,7803,7253,33.88
162,210,Bharat Forge,Baba Kalyani,Auto Ancillaries,11424,10461,1082,150,9.47,160,8.45,603,5972,0.91,13107,174,6571,182,15.42,11.01,4079,33229,6.6
163,159,Alkem Laboratories,Singh family,"Drugs, Pharma",11332,10634,1646,108,14.52,52,2.57,2579,2668,0.31,11856,186,8638,151,20.98,18,16966,39245,-15.32
164,180,NCC,AVS Raju & Associates,"Engg, Construction",11308,11138,482,271,4.27,478,46.7,601,1302,0.23,7282,245,5603,206,6.29,12.74,5109,4146,7.23
165,151,Dabur India,Burman family,FMCG,11290,10889,1739,98,15.4,39,1.78,570,1030,0.12,9520,217,8381,153,21.72,26.05,8562,97846,-6.44
166,176,HCC,Ajit Gulabchand,Construction,11169,10670,400,298,3.58,1030,87.88,1542,2018,0,2912,384,-785,484,37.97,23.85,1105,2138,48.14
167,160,Eicher Motors,Vikram Lal,Auto,10947,10298,1677,106,15.32,19,0.86,2722,108,0.01,13070,175,12608,114,13.94,17.8,4784,77663,51.22
168,213,Dixon Technologies,Sunil Vachani,Consumer Durables (Ancillaries),10811,10697,190,389,1.76,49,12.86,182,667,0.67,1693,457,997,442,21.95,22.24,19580,25862,-14.85
169,145,RBL Bank,"Diversified
                                              *",Banking,10796,8445,-166,461,0,4148,0,17557,90104,0,106163,56,12530,118,0,-0.16,9257,7863,-26.91
170,165,Marico,Harsh Mariwala,FMCG,10763,10549,1225,130,11.38,39,2.32,579,479,0.14,3912,342,3348,282,38.1,42.98,1657,66336,-7.15
171,224,Shyam Metalics & Energy,M.P. Agarwal,Metals,10635,10394,1725,100,16.22,23,0.89,326,543,0.09,6579,264,5835,202,36.42,42.53,3685,8107,-8.04
172,0,"Star Health & Allied Insurance
                                                      ^^","Diversified
                                              *",Financial Services,10610,10602,-1041,484,0,0,0,564,720,0.16,5351,290,4620,232,0,0,0,40825,-21.42
173,172,Aster DM Healthcare,Azad Moopen,Healthcare,10481,10253,526,255,5.02,307,20.02,380,4907,1.24,9787,214,3953,251,16.19,10.51,25806,9983,34.64
174,0,"Tata Capital
                                                      ^",Tata Group,NBFC,10362,10051,1648,107,15.91,4889,0,2136,85233,6.65,99179,59,11713,127,16.61,8.17,0,0,0
175,178,DCM Shriram,Ajay Shriram%comma% Vikram Shriram,Diversified,10348,9879,1067,154,10.31,85,4.75,1607,1577,0.29,7340,243,5502,210,21.01,23.98,5357,16043,6.74
176,223,Vardhman Textiles,Paul Oswal,Textiles & Garments,10292,9622,1547,112,15.03,100,4.39,122,1983,0.26,9862,212,7704,161,21.89,23.64,27599,11312,-14.92
177,158,Cholamandalam Investment & Finance Company,Murugappa Group,NBFC,10232,10148,2154,88,21.05,4298,0,4302,69174,5.88,80943,68,11769,124,20.21,9.34,9125,55093,20.91
178,191,Pidilite Industries,B.K. Parekh,FMCG,10214,9921,1208,133,11.82,42,2.28,355,416,0.06,7110,252,6404,186,20.12,25.66,7622,123961,9.9
179,135,NHPC,GoI,Power,10214,9219,3524,64,34.5,586,14.66,1958,26096,0.75,71088,77,34921,53,11.11,5.83,5092,32936,41.49
180,157,SIS,R. K. Sinha & Associates,Services,10117,10059,325,331,3.21,98,19.73,738,1451,0.7,3695,356,2071,359,16.71,12.39,143894,6856,-6.68
181,251,"Gokul Agro Resources
                                                      (**)",K.J. Thakkar,Food & Agri Products,9947,9714,123,413,1.24,56,25,330,305,0.65,777,495,470,468,31.9,32.01,0,1205,129.98
182,179,United Spirits,MNC,"Beer, Alcohol",9831,9712,829,191,8.43,88,6.1,60,605,0.12,5495,285,4954,223,14.59,18.56,3145,61846,-7.95
183,218,Apar Industries,Kushal Desai,Basic Materials,9694,9320,257,359,2.65,171,29.54,267,320,0.19,2051,435,1715,392,16.48,27.08,1428,3378,123.92
184,227,"National Stock Exchange Of India
                                                      ^","Diversified
                                              *",Securities Trading & Broking,9681,8929,5195,44,53.66,0,0,16323,115,0.01,20023,143,15410,100,38.44,38.85,0,0,0
185,199,Divis Laboratories,Murali K Divi,"Drugs, Pharma",9598,8960,2960,70,30.85,2,0.05,2819,4,0,11759,188,11728,126,28.16,34.96,16543,108987,-30.52
186,148,Dilip Buildcon,Dilip Suryavanshi,"Engg, Construction",9593,9566,-549,474,0,1057,147.87,583,8783,2.47,12953,178,3551,275,0,2.57,22694,4482,-63.97
187,189,Ceat,RPG Group,Tyres & Tubes,9592,9363,71,430,0.74,210,30.02,36,2229,0.68,5609,282,3273,286,2.59,6.26,7622,4766,24.33
188,239,Macrotech Developers,M.P. Lodha,Real estate,9580,9233,1202,135,12.55,688,32.26,1246,11537,0.95,24084,133,11672,128,15.26,10.37,3359,53971,-14
189,194,Nuvoco Vistas Corporation,Karsanbhai Patel,Cement,9534,9318,32,443,0.34,570,38.08,149,5575,0.63,14565,164,8821,148,0.4,4.16,2867,14027,-25.27
190,241,Hinduja Global Solutions,Hinduja Group,Infotech,9514,3264,6104,38,64.15,28,76.54,3521,308,0.04,8149,230,7808,160,125.01,2.5,21608,5291,0.13
191,190,Welspun India,B.K. Goenka,Textiles & Garments,9501,9311,601,235,6.33,131,9.66,266,3304,0.83,7758,235,3972,250,15.93,13.79,19905,9929,-45.09
192,192,Gujarat State Fertilizers & Chemicals,Govt of Gujarat,"Fert, Agro Chem",9441,9083,899,177,9.52,10,0.74,336,6,0,12153,184,11772,123,8.55,12,3145,5614,-7.56
193,188,Varun Beverages,Ravi Jaipuria,"Food, Agri Products",9343,9175,694,214,7.43,207,12.34,337,3356,0.82,7793,234,4080,246,19.62,16.57,7965,49661,71.46
194,200,Berger Paints India,Dhingra brothers,FMCG,9212,8762,833,188,9.04,51,3.81,313,1014,0.26,5041,297,3927,255,22.81,25.73,3931,65783,-21.92
195,282,Aditya Birla Fashion & Retail,Aditya Birla Group,Retail Trade,9180,8136,-109,459,0,389,34.19,121,4100,1.48,7653,239,2773,307,0,0,28541,26811,30.49
196,0,"Nirma
                                                      ^",Karsanbhai Patel,FMCG,9164,8963,354,318,3.87,319,20.72,1098,3463,0.43,11925,185,8111,156,4.49,6.43,0,0,0
197,134,"Sidbi
                                                      ^^ ^",GoI,NBFC,9139,8714,1958,91,21.42,5702,0,17918,216591,0,247379,32,24583,69,8.54,0.89,0,0,0
198,195,Amara Raja Batteries,R.N. Galla,Storage Batteries,9097,8697,513,261,5.63,15,1.47,54,126,0.03,4850,304,4552,233,11.7,15.18,9911,9443,-26.38
199,152,Indiabulls Housing Finance,"Diversified
                                              *",NBFC,8994,8988,1178,140,13.09,6242,0,9653,61359,3.68,78033,71,16674,95,7.18,9.57,4603,7414,-40.94
