2022,2021,Change,Company,Ownership,Industry,Rs cr,YoY change %,Rs cr,YoY change %,Rs cr,Rank,YoY change %,% of total income,Rs cr,% of Ebitda,Rs cr,Rs cr,(x),Rs cr,Rank,YoY change %,Rs cr,Rank,(%),(%),(in nos),Rank,RS Crore,(%)
411,412,1,Rattanindia Power,Rajiv Rattan,Power,3669,39.29,3260,108.96,-1981,493,0,NAP,2342,641.25,270,10967,0,9877,211,-22.39,-2662,492,NAP,NAP,524,380,2649,4.76
412,340,-72,Great Eastern Shipping Company,K.M. Sheth,Shipping,3669,2.82,3509,5.17,630,228,-31.45,17.16,370,24.23,2837,4655,0.58,13022,177,-1.48,8051,157,7.99,7.54,1812,304,5698,74.96
413,448,35,India Glycols,U.S. Bhartia,Basic Materials,3667,54.74,2868,23.79,340,325,158.23,9.27,70,NAP,102,1042,0.58,3050,378,15.12,1792,381,11.1,8.43,1151,345,2708,-12.02
414,387,-27,Kesoram Industries,B.K. Birla Group,Diversified,3657,23.17,3606,35.93,-77,456,0,NAP,502,102.46,179,1811,3.01,2528,402,8.23,511,465,NAP,NAP,1856,303,1332,-11.51
415,397,-18,V-Guard Industries,K. Chittilappilly,Consumer Durables,3652,29.85,3498,28.55,228,369,13.38,6.23,8,2.33,61,68,0.05,1500,471,15.23,1407,412,17.45,21.63,2477,268,9821,-0.64
416,462,46,"Mahanagar Gas
                                                      ^^",GoI,Oil & Gas,3646,63.3,3560,65.4,597,237,-3.65,16.37,8,0.81,465,103,0.03,3727,351,11.93,3597,273,17.48,23.06,491,382,8134,-12.61
417,396,-21,Nava,"Diversified
                                              *",Metals,3639,28.67,3348,31.36,518,260,22.32,14.23,338,27.61,342,3587,0.72,9784,215,11.92,4953,224,13.48,15.46,611,375,2308,71.97
418,376,-42,HIL,C.K. Birla Group,Cement,3630,17.61,3520,15.66,210,380,-18.98,5.8,13,3.22,73,313,0.27,1518,469,3.41,1166,428,19.47,20.61,1610,318,2852,-36.79
419,NAP,NEW,Graphite India,K.K. Bangur,Basic Materials,3588,87.93,3027,54.6,505,264,0,14.06,5,1,144,436,0.09,5386,288,12.88,4947,225,10.63,13.73,1719,309,8784,-31.51
420,439,19,"Tetra-Pak India
                                                      ^^ ^",MNC,Packaging,3564,43.88,3337,36.06,212,379,114.52,5.95,41,10.9,14,486,1,997,488,1.96,485,466,48.35,34.22,NAVL,NAP,NAP,NAP
421,327,-94,"Saraswat Co-operative Bank
                                                      ^^ ^","Diversified
                                              *",Banking,3556,-4.55,3029,-1.54,275,349,1.77,7.73,1997,NAP,5093,45030,0,58468,86,8.7,4435,235,6.15,0.49,NAVL,NAP,NAP,NAP
422,423,1,"J Kumar Infraprojects
                                                      ^^",Jagadishkumar Gupta,Real Estate,3552,36.82,3527,37.2,206,383,222.14,5.8,100,19.82,374,472,0.23,2560,401,4.26,2087,353,10.36,15.26,7021,137,1719,65.72
423,379,-44,Ajanta Pharma,Rajesh Agrawal,"Drugs, Pharma",3540,15.43,3341,15.62,713,212,8.99,20.13,10,1.1,212,25,0.01,3313,368,8.63,3264,287,22.77,28.91,7234,136,16652,-11.26
424,497,73,Himatsingka Seide,D.K. Himatsingka,Textiles & Garments,3506,75.84,3198,41.55,141,404,0,4.02,181,33.3,167,2922,1.99,4677,310,10.91,1470,407,10.11,8.8,8687,116,1535,-63.47
425,375,-50,EPL,MNC,Packaging,3502,12.91,3433,11.04,214,378,-10.33,6.12,40,7.09,193,767,0.42,2660,398,10.47,1825,380,12.56,13.16,1114,350,5565,-26.81
426,472,46,Patel Engineering,Rupen Patel,"Engg, Construction",3497,61.87,3380,69.46,72,429,0,2.05,420,84.37,261,2292,0.96,6219,270,2.04,2384,328,3.77,9.26,4273,190,1233,-13.21
427,404,-23,Brigade Enterprises,M.R. Jaishankar,Real Estate,3494,29.03,2999,53.79,83,424,0,2.37,444,62.51,945,4906,1.69,7967,231,3.84,2902,301,-3.51,6.29,625,373,11174,4.71
428,415,-13,Carborundum Universal,Murugappa Group,"Fert, Agrochem",3478,32.68,3325,26.33,333,327,17.25,9.58,6,1.05,352,232,0.1,2718,393,20.68,2364,330,15.57,19.93,2121,290,15681,2.48
429,419,-10,Prime Focus,Naresh Malhotra,Media & Entertainment,3478,33.23,3386,33.49,-172,462,0,NAP,373,60.6,239,4102,35.89,4521,314,2.28,114,476,NAP,NAP,249,391,2242,-5.05
430,389,-41,"Sanofi India
                                                      ^^",MNC,"Drugs, Pharma",3477,18.5,2957,1.88,944,168,97.74,27.16,2,0.24,1550,25,0.01,2312,418,4.8,2226,344,26.75,33.8,2505,267,15981,-25.48
431,319,-112,Godrej Properties,Godrej Group,Real Estate,3474,-10.3,1825,138.57,352,320,0,10.14,167,NAP,1339,5196,0.6,13966,167,7.03,8675,150,4.09,5.03,1998,299,43283,-46.15
432,383,-49,Cochin Shipyard,GoI,Ship Building,3459,14.45,3191,13.2,564,247,-7.34,16.3,53,8.46,3213,551,0.13,4983,300,8.14,4393,239,13.39,17.08,1756,306,4619,61.55
433,463,30,Ratnamani Metals & Tubes,Prakash Sanghvi,Iron & Steel,3397,52.34,3139,36.58,323,333,16.9,9.5,21,4.32,44,157,0.07,2408,411,9.3,2248,343,15.23,19.62,2372,277,11241,46.51
434,420,-14,3M India,MNC,Consumer Durables,3390,29.95,3336,28.06,272,350,67.49,8.02,4,0.96,1328,25,0.01,2263,420,14.56,2184,346,13.29,17.52,1132,348,25495,-8.93
435,466,31,West Coast Paper Mills,S.K. Bangur,Paper,3389,54.68,3378,50.48,307,339,0,9.06,59,9.27,60,478,0.28,2660,397,5.41,1686,395,22.5,21.21,2386,275,2366,146.37
436,431,-5,Religare Enterprises,"Diversified
                                              *",NBFC,3372,33.27,3227,28.44,-1544,491,0,NAP,750,NAP,2403,4878,0,4346,322,-17.04,-982,487,NAP,NAP,NAVL,NAP,4392,5
437,NAP,NEW,Oberoi Realty,Vikas Oberoi,Real Estate,3365,84.81,2694,31.25,1047,160,41.64,31.11,86,7.28,293,2855,0.27,13512,169,21.63,10416,136,10.58,11.69,662,371,32643,-3.8
438,386,-52,Emami,RS Agarwal & RS Goenka,FMCG,3333,12.22,3192,10.81,839,185,84.52,25.17,5,0.54,116,282,0.14,2406,412,25.84,2077,357,43.59,32.08,3205,224,21275,-11.98
439,394,-45,Transport Corporation of India,D.P. Agarwal,Transport Logistics,3304,16.02,3257,16.21,290,346,96.84,8.76,13,3.14,74,96,0.07,1560,466,5.26,1430,409,22.52,22.84,3691,205,5459,4.51
440,NAP,NEW,Lakshmi Machine Works,Jayavarthanavelu family,Textiles & Garments,3290,81.52,3171,83.57,181,392,305.94,5.5,0,0.04,495,0,0,2417,410,26.2,1990,364,9.6,11.01,3143,229,10864,48.06
441,349,-92,"GE T&D India
                                                      ^^",MNC,Capital Goods,3283,-5.22,3066,-11.19,-50,455,0,NAP,59,NAP,82,226,0.21,1409,478,-10.69,1080,437,NAP,-8.09,2332,281,2952,-1.08
442,443,1,Akzo Nobel India,MNC,FMCG,3264,32.57,3149,30.03,290,345,39.74,8.89,15,3.35,459,71,0.06,1423,476,-1.06,1258,421,22.79,26.67,1467,326,8923,6.75
443,399,-44,Sumitomo Chemical India,MNC,Basic materials,3262,17.28,3065,15.87,424,290,22.66,12.98,8,1.33,79,38,0.02,1987,438,23.95,1927,370,24.42,32.52,1696,310,21508,33.37
444,493,49,Force Motors,Abhaykumar Firodia family,Auto,3255,59.56,3240,62.98,-91,457,0,NAP,41,81.33,74,1069,0.61,2847,388,13.3,1748,387,NAP,-3.31,3928,201,1556,-3.83
445,450,5,Asahi India Glass,MNC,Auto Ancillaries,3238,37.15,3170,30.94,345,323,159.1,10.65,121,15.9,88,1238,0.7,3011,380,-0.22,1762,385,21.41,20.84,6589,144,12573,45.7
446,485,39,"KRIBHCO Fertilisers
                                                      ^^ ^",GoI,Fertilisers & Agrochem,3237,54.85,3199,47.99,80,425,"1,080.71",2.48,59,27.87,145,1360,2.55,1950,443,32.04,532,464,15.84,8.06,NAVL,NAP,NAP,NAP
447,NAP,NEW,Indian Hotels Co,Tata Group,Hospitality,3227,69.86,3056,94.03,-248,467,0,NAP,428,105.66,1188,3888,0.55,11678,190,17.55,7062,175,NAP,NAP,4980,176,33136,67.06
448,460,12,"JBF Industries
                                                      ^^",Bhagirath Arya,Textiles & Garments,3223,42.81,3272,48.37,-1170,486,0,NAP,250,NAP,140,2583,0,1618,462,-42.8,-978,486,NAP,NAP,2428,270,125,-49.59
449,449,0,Tanla Platforms,U.K. Reddy,Infotech,3222,36.33,3206,36.92,539,253,51.42,16.74,3,0.44,862,54,0.04,1416,477,56.55,1354,416,48,58.39,680,369,17204,-36.84
450,451,1,Cosmo First,Ashok Jaipuria,Packaging,3209,36.02,3038,32.96,397,301,67.42,12.36,40,6.97,61,818,0.69,2090,431,24.14,1191,425,38.8,29.5,1039,357,2790,-30.02
451,NAP,NEW,JBM Auto,S.K. Arya,Auto Ancillaries,3206,58.7,3193,61.1,156,401,216.82,4.87,76,22.72,35,1388,1.55,2305,419,43.38,896,447,19.05,13.43,2063,296,5309,67.04
452,424,-28,Embassy Office Parks REIT,MNC,Real estate,3186,23.56,3053,24.22,888,178,27.21,27.89,829,34.69,612,12136,0.47,38429,110,0.44,25887,64,3.08,4.24,NAVL,NAP,34763,5.23
453,NAP,NEW,Arvind Fashions,Sanjay Lalbhai,Textiles,3177,93.61,3056,59.84,-267,468,0,NAP,130,243.14,105,958,1.28,2061,434,-20,750,455,NAP,NAP,236,392,3808,18.65
454,NAP,NEW,Sutlej Textiles and Industries,C.S. Nopany,Textiles & Garments,3175,73.49,3076,63.29,150,403,0,4.73,50,13.42,14,943,0.86,2069,432,9.49,1100,433,14.62,14.42,16835,76,1208,-2.77
455,NAP,NEW,Laxmi Organic Industries,Ravi Goenka,Basic Materials,3174,78.97,3084,74.4,256,360,101.82,8.08,19,5.09,182,139,0.11,1444,474,21.53,1301,420,21.96,25.6,679,370,10019,-30.24
456,313,-143,Wockhardt,Habil Khorakiwala,"Drugs, Pharma",3163,-19.92,3230,19.28,-244,466,0,NAP,299,260,406,2198,0.57,6584,263,1.03,3849,260,NAP,1.15,2962,238,3966,-40.67
457,320,-137,Strides Pharma Science,Arun Kumar,"Drugs, pharma",3163,-18.33,3070,-7.41,-460,473,0,NAP,177,NAP,187,3025,1.28,5531,284,0.83,2359,331,NAP,-4.44,2647,259,3297,-42.89
458,NAP,NEW,"National Engineering Industries
                                                      ^",C.K. Birla Group,Auto Ancillary,3163,23.43,2819,19.62,219,373,48.73,6.92,76,28.33,171,1504,0.46,4778,306,13.9,3239,288,2.52,3.43,NAVL,NAP,NAP,NAP
459,484,25,Century Plyboards (India),Bhajanka%comma% Agarwal familes,Basic Materials,3154,49.54,3027,42.09,313,337,63.5,9.92,11,2.15,261,236,0.15,1804,452,25.18,1557,401,22.18,29.52,6339,146,13605,4.34
460,421,-39,Sobha,P.N.C. Menon family,Real Estate,3137,20.31,2731,29.44,117,414,87.67,3.73,750,84.3,178,2514,1,5042,296,-8.24,2511,322,3.85,16.56,3007,237,6801,-24.03
461,374,-87,"Ujjivan Small Finance Bank
                                                      ^^","Diversified
                                              *",Banks,3126,0.57,2813,0.24,-415,472,0,NAP,1039,NAP,2168,20056,0,23611,136,15.79,2603,316,NAP,-1.88,16895,75,3353,16.2
462,345,-117,SREI Infrastructure Finance,"Diversified
                                              *",NBFC,3122,-10.51,3099,-10.11,-2545,495,0,NAP,2169,NAP,1478,32318,0,26568,130,-6.96,-5901,495,NAP,NAP,NAVL,NAP,254,-10.27
463,NAP,NEW,"Gallantt Ispat
                                                      ^^",C.P. Agarwal,Iron & Steel,3122,0,3017,0,176,394,0,5.63,20,6.91,13,387,0.19,2485,405,0,2083,355,8.82,10.75,NAVL,NAP,966,-15.31
464,310,-154,Gayatri Projects,S.K. Reddy,"Engg, Construction",3100,-23.25,3102,-20.46,-958,481,0,NAP,338,NAP,33,2748,0,3427,365,-14.39,-5,482,NAP,NAP,NAVL,NAP,400,-70.32
465,427,-38,"Orient Cement
                                                      ^^",C.K. Birla Group,Cement,3095,20.67,3073,19.71,263,353,22.9,8.51,51,8.7,44,316,0.21,1889,446,-12.59,1525,404,18.6,22.49,858,366,2856,-19.15
466,368,-98,Ujjivan Financial Services,"Diversified
                                              *",Micro Finance,3092,-2.79,2995,-2.51,-192,463,0,NAP,1071,NAP,2188,21073,9.07,23795,134,20.49,2323,340,NAP,3.59,NAVL,NAP,1891,36.38
467,401,-66,Kirloskar Brothers,Kirloskar Group,Capital Goods,3091,11.76,3058,12.56,94,421,-41.44,3.05,33,16.25,259,396,0.34,1689,458,13,1177,427,7.15,10.63,4687,180,2612,-4.35
468,NAP,NEW,Adani Total Gas,Adani Group,Oil & Gas,3088,77.38,3038,79.16,509,262,10.06,16.5,53,6.82,34,1035,0.43,3461,363,40.21,2416,327,23.2,24.68,466,383,263880,153.35
469,NAP,NEW,Maithan Alloys,Subhas Chandra Agarwalla,Metals & Mining,3085,87.38,2992,84.74,818,194,254.38,26.52,3,0.32,102,5,0,2332,417,48.19,2323,339,42.55,55.6,584,376,3055,-8.53
470,447,-23,"Gokul Refoils and Solvent
                                                      (**)",B.C. Rajput,"Food, Agri Products",3080,29.35,2997,25.37,27,445,29.62,0.86,18,45.53,59,368,1.21,673,496,19.65,304,473,9.12,8.85,NAVL,NAP,348,16.45
471,436,-35,Sheela Foam,Rahul Gautam,Textiles & garments,3071,23.15,2982,22.35,217,375,-8.58,7.08,17,5.39,41,466,0.33,1945,444,22.76,1393,413,16.98,17.84,2779,247,15178,11.75
472,408,-64,Indo Count Industries,A.K. Jain family,Textiles & Garments,3068,13.95,2842,12.81,358,316,43.01,11.68,47,10.91,394,1319,0.83,2923,382,55.65,1587,399,24.98,22.27,2215,285,3529,-40.51
473,403,-70,"Jana Small Finance Bank
                                                      ^^ ^","Diversified
                                              *",Banking,3050,11.62,2727,9.16,5,450,-93.58,0.18,1337,NAP,1537,18050,0,20189,142,5.75,1051,439,0.11,0.03,NAVL,NAP,NAP,NAP
474,444,-30,"KIOCL
                                                      ^^",GoI,Metals & Mining,3047,24,3006,26.51,313,335,4.06,10.29,12,3.26,1108,126,0.06,2365,416,7.42,2144,347,15.18,18.55,699,368,13277,-33.2
475,356,-119,Engineers India,GoI,"Engg, Construction",3043,-8.71,2913,-7.36,140,405,-43.95,4.59,3,0.8,1383,4,0,1786,453,1.04,1770,382,19.48,25.45,2756,250,3707,1.49
476,372,-104,"Honeywell Automation India
                                                      ^^",MNC,Consumer Durables,3030,-3.71,2948,-3.1,339,326,-26.28,11.19,9,2,2006,56,0.02,2920,383,8.29,2837,303,12.52,16.6,NAVL,NAP,34821,-7.25
477,446,-31,Minda Corporation,Ashok Minda,Auto Ancillaries,3019,24.39,2976,25.68,192,388,263.45,6.36,32,10.83,333,506,0.38,1872,448,9.96,1325,418,12.97,11.6,2755,251,4840,16.66
478,393,-85,Va Tech Wabag,Rajiv Mittal,Capital Goods,3014,5.72,2979,5.11,132,407,19.8,4.38,88,37.51,429,436,0.28,2167,428,7.71,1539,403,8.96,12.18,968,360,1763,-20.56
479,478,-1,"Bharat Dynamics
                                                      ^^",GoI,3013,40.97,2817,47.22,500,267,93.94,16.59,5,0.68,1900,10,0,3988,337,15.74,3031,295,17.49,19.23,2674,255,11819,134.72,
480,311,-169,"Bank of America
                                                      ^^ ^",MNC,Banking,3003,-18.14,2326,-11.28,830,190,-32.38,27.62,513,NAP,14453,39199,0,62333,83,4.56,14291,105,5.98,1.36,NAVL,NAP,NAP,NAP
481,NAP,NEW,Sunflag Iron & Steel Company,Satyadev Bhardwaj,Iron & Steel,2995,64.42,2718,41.37,217,377,54.33,7.24,42,10.61,68,587,0.34,2380,414,28.13,1412,411,16.73,18.45,1206,341,1486,3.09
482,NAP,NEW,Savita Oil Technologies,G.N. Mehra,"Lube Oils, Lubricants",2975,45,2938,46.82,260,356,9.82,8.76,19,5.39,68,0,0,1265,484,18.32,1258,422,22.45,31.5,463,384,1696,8.7
483,NAP,NEW,Himadri Speciality Chemical,Sadashiv K Shetty,Basic materials,2938,90.59,2791,66.2,39,440,-17.75,1.33,36,27.11,265,587,0.31,2456,407,-2.75,1868,378,3.12,4.56,NAVL,NAP,2963,98.55
484,498,14,"Tata Teleservices
                                                      ^",Tata Group,Telecom (Ancillaries),2898,5.67,2734,4.88,-1304,488,0,NAP,2375,285.98,52,28114,0,3214,371,-57.83,-29149,499,NAP,NAP,NAVL,NAP,NAP,NAP
485,398,-87,Dalmia Bharat Sugar & Industries,Dalmia Bharat Group,Cement,2894,3.92,3018,12.39,296,342,9.39,10.22,35,7.81,104,819,0.35,3224,370,2.5,2359,333,13.14,13.04,2648,258,3180,-18.19
486,NAP,R-E 2018,GMDC,Govt of Gujarat,Metals & Mining,2889,92.15,2737,103.37,405,297,0,14.02,2,0.31,90,1,0,5413,287,17.21,4767,229,9.17,14.73,1085,353,4387,96.41
487,NAP,R-E 2020,Electrotherm (India),Mukesh Bhandari,Capital Goods,2883,14.18,2831,12.44,-40,452,0,NAP,45,52.58,72,2087,0,1024,487,-15.19,-1082,488,NAP,NAP,2094,291,136,-38.32
488,440,-48,Radico Khaitan,L.K. Khaitan,Beer & Alcohol,2879,17.48,2868,19.56,263,354,-5.03,9.14,13,3.32,110,202,0.1,2240,422,7.04,2027,361,13.01,15.93,1196,342,13096,-4.26
489,NAP,NEW,Shoppers Stop,K Raheja,Retail Trade,2871,80.58,2519,44.01,-47,453,0,NAP,207,76.73,33,2115,27.86,2191,427,-1.56,76,481,NAP,NAP,5403,162,5281,111.55
490,469,-21,TTK Prestige,T.T. Jagannathan family,Consumer Durables,2854,31.2,2722,24.07,305,340,28.74,10.68,7,1.6,405,92,0.05,1823,451,14.75,1727,391,18.91,24.5,1418,332,12647,-15.26
491,454,-37,"Relaxo Footwears
                                                      ^^",M.L. Dua & R.K. Dua,Leather,2849,21.88,2653,12.47,233,366,-20.19,8.17,17,4.12,13,174,0.1,1953,442,12.7,1760,386,13.96,17.79,8026,126,27866,-27.61
492,479,-13,Nilkamal,V. Parekh & S. Parekh,Consumer Durables,2838,33.21,2730,30.49,83,423,-26.19,2.94,31,13.79,68,354,0.29,1630,461,13.27,1202,424,7.13,9.15,3225,223,3204,-12.04
493,416,-77,Sadbhav Engineering,Vishnubhai Patel,"Engg, Construction",2828,7.9,1908,-14.96,-724,478,0,NAP,975,NAP,212,6159,7.68,7257,246,-28.59,802,453,NAP,NAP,1238,340,468,-74.09
494,491,-3,Rane Holdings,L. Ganesh family,Auto Ancillaries,2825,37.71,2695,32.2,24,446,0,0.85,34,NAP,28,788,1.02,1849,449,8.15,776,454,1.93,4.28,NAVL,NAP,949,51.62
495,360,-135,Dish TV India,"Diversified
                                              *",Media,2815,-13.77,2802,-13.75,-1831,492,0,NAP,325,NAP,182,378,0.4,1282,483,-63.12,936,444,NAP,NAP,NAVL,NAP,2836,-6.99
496,482,-14,Usha Martin,Brij Kishore Jhawar,Iron & Steel,2812,32.86,2688,28.17,291,344,94.71,10.36,42,11.07,165,411,0.24,2196,425,8.43,1694,393,16.84,16.99,2180,287,3522,58.29
497,402,-95,Godfrey Phillips India,K.K. Modi Group,FMCG,2812,2.41,2706,6.42,438,286,16.35,15.58,34,5.36,50,336,0.11,3299,369,9.49,2928,300,13.61,16.51,962,361,6003,19.19
498,NAP,NEW,"Schwing Stetter India
                                                      ^^ ^",MNC,Capital goods,2801,86.82,2539,62.64,53,434,142.7,1.91,37,32.62,20,320,0.73,795,494,8.53,438,470,11.45,13.86,NAVL,NAP,NAP,NAP
499,490,-9,"Hubergroup India
                                                      ^^ ^",MNC,Basic Materials,2797,0,2695,0,171,396,0,6.12,15,6.15,11,260,0.15,2036,436,0,1764,384,9.92,13.12,NAVL,NAP,NAP,NAP
500,NAP,NEW,"Nitin Spinners
                                                      ^^",Ratan Lal Nolkha,Textiles & Garments,2788,68.79,2692,65.74,326,330,373.56,11.7,55,8.55,1,689,0.79,1569,464,1.59,876,449,45.32,36.06,5205,167,1350,-15
