2022,2021,Change,Company,Ownership,Industry,Rs cr,YoY change %,Rs cr,YoY change %,Rs cr,Rank,YoY change %,% of total income,Rs cr,% of Ebitda,Rs cr,Rs cr,(x),Rs cr,Rank,YoY change %,Rs cr,Rank,(%),(%),(in nos),Rank,RS Crore,(%)
211,182,-29,G R Infraprojects,VK Agarwal & Associates,Construction,8531,7.73,8458,7.83,832,189,-12.87,9.75,420,24.23,1095,5282,1.1,10093,209,18.53,4811,228,18.93,16.33,17735,69,14393,-38.07
212,212,0,Uno Minda,Nirmal Minda,Auto Ancillaries,8457,30.34,8313,30.43,356,317,72.19,4.21,62,7.04,234,944,0.27,4885,303,23.77,3438,277,12.2,13.58,5766,155,28738,38.81
213,NAP,NEW,"Mankind Pharma
                                                      ^",Juneja brothers,Pharma,8442,27.05,7782,25.22,1433,122,13.28,16.98,60,3,406,873,0.14,7290,244,40.6,6155,193,26.72,33.43,NAVL,NAP,NAP,NAP
214,184,-30,"Deutsche Bank
                                                      ^^ ^",MNC,Banking,8382,11.05,6836,6.28,1474,119,-3.47,17.58,2380,NAP,21246,112221,0,147955,45,14.31,20845,77,7.33,1.06,NAVL,NAP,NAP,NAP
215,171,-44,"Export-Import Bank of India
                                                      ^^ ^",GoI,Banking,8363,-2.48,7976,-0.04,738,210,190.42,8.82,4889,NAP,3273,107477,0,136742,51,1.44,19301,83,3.97,0.54,NAVL,NAP,NAP,NAP
216,235,19,Jain Irrigation Systems,Bhavarlal Jain family,Capital Goods,8327,40.82,7580,26.5,325,332,0,3.9,558,79.2,391,6733,1.85,10636,202,4.6,3656,269,-5.06,3.8,6654,143,2300,-20.17
217,193,-24,Voltas,Tata Group,Diversified,8302,11.21,7934,5.01,504,265,-4.01,6.07,26,4.53,572,373,0.07,6039,272,11.69,5500,211,9.64,12.72,2576,264,36407,-29.28
218,NAP,NEW,Paradeep Phosphates,K.K. Birla Group,Fertilisers & Agrochem,8292,67.24,7859,52.16,398,300,78.46,4.81,86,12.75,598,2954,1.33,5209,294,68.1,2225,345,19.66,14.94,930,364,4242,35.04
219,219,0,Supreme Industries,Taparia family,Plastic Products,8209,28.93,7773,22.31,968,163,-0.99,11.8,5,0.41,526,46,0.01,3918,341,21.18,3844,262,27.62,34.59,5228,166,25717,-5.18
220,206,-14,J K Cements,JK Group,Cement,8157,21.62,7991,20.96,687,216,-3.18,8.42,270,18.2,325,4115,0.95,8934,222,14.84,4325,240,16.85,15.29,3941,199,21401,-19.65
221,261,40,Indraprastha Gas,GoI,Oil & Gas,8116,56.63,7710,56.05,1502,115,28.12,18.51,25,1.31,1362,108,0.01,7737,236,19.24,7586,166,21.58,27.81,NAVL,NAP,28297,-9.13
222,183,-39,"Punjab & Sind Bank
                                                      ^^",GoI,Banking,8055,2.26,7096,1.75,1039,161,0,12.9,4445,NAP,6288,104581,0,121158,54,9.58,13091,112,10.12,0.9,8735,115,8876,-6.61
223,204,-19,Concor,GoI,Logistics,8041,17.8,7770,19.09,1055,158,108.83,13.12,63,3.6,2918,731,0.07,11695,189,4.73,10756,132,10.05,12.86,NAVL,NAP,40031,21.51
224,238,14,Deepak Fertilizers,C.K. Mehta,Fertilisers & agrochem,7886,36.6,7663,31.93,678,217,69.44,8.6,155,11.42,289,2656,0.68,6783,257,23.24,3884,258,20.87,19.34,942,363,7689,138.83
225,202,-23,NBCC (India),GoI,"Engg, Construction",7875,10.96,7691,10.6,224,370,-0.59,2.85,9,8.51,5647,0,0,2382,413,6.55,1768,383,17.16,18.51,1367,335,6779,-26.98
226,254,28,Ircon International,GoI,Engineering & Construction,7811,46.64,7380,37.94,592,239,51.47,7.58,69,11.73,5513,1399,0.3,6816,256,24.17,4666,231,13.06,12.31,NAVL,NAP,3938,-1.59
227,247,20,Surya Roshni,J.P. Agarwal,Diversified,7776,40.1,7731,39.01,205,384,29.44,2.64,64,14.37,1,593,0.38,2216,424,2.08,1548,402,14.06,15.51,3357,218,2532,-34.73
